

题目：以下关于班次时长与工作时长的说法正确的是    正确答案：班次时长是固定值，工作时长是护士实际工作时长
题目：颈椎病患者颔枕带牵引多采取何种体位    正确答案：坐位和卧位
题目：社会环境中对老年人的健康及患者角色适应影响最大的因素是    正确答案：经济
题目：下列除哪项外均是老年人服药依从性差的常见临床表现    正确答案：服药期间吸烟不节制
题目：老年人高血压病的治疗特点不包括    正确答案：缓慢降压,将血压降至120/80mmHg为宜
题目：脑血栓形成且有吞咽困难的患者为防止误吸和窒息采取的措施不当的是    正确答案：使用吸水管帮助喝水
题目：维持痴呆老人自理能力时正确的做法是下列哪项    正确答案：以上都正确
题目：关于老年人应用降糖药物的描述错误的是    正确答案：与受体阻滞剂合用,可使低血糖发生的危险性降低
题目：张某男性60岁脑出血入院4天后发热体温395遵医嘱行全身物理降温降温效果最好的物理降温措施是    正确答案：酒精擦浴
题目：张某男性60岁脑出血入院4天后发热体温395遵医嘱行全身物理降温该患者卧床休息的时间为    正确答案：2~3周
题目：患者女75岁记忆力进行性下降10年近12年来回忆不起以往的生活经历说不出常见物品的名称走失一次夜间定向障碍行为紊乱肌力正常该患者可能的诊断是    正确答案：老年性痴呆
题目：患者女75岁记忆力进行性下降10年近12年来回忆不起以往的生活经历说不出常见物品的名称走失一次夜间定向障碍行为紊乱肌力正常对该患者的治疗和护理不正确的是    正确答案：为防止走失,决不允许出门
题目：关于老年帕金森症状表现的说法错误的是    正确答案：舞蹈样动作
题目：李某女65岁主因活动后胸闷气短一个月就诊为全面评估病人的躯体健康状态进行下列的评估不正确的是    正确答案：心理评估
题目：关于老年人选药原则用药剂量及剂型以下不正确的是    正确答案：老年人一律使用液体剂型,以便吸收
题目：骨质疏松症的病理改变是    正确答案：骨量减少
题目：常用降压药物硝苯地平属于    正确答案：钙拮抗剂
题目：在对男性尿失禁老人作评估时需要询问有无    正确答案：前列腺肥大
题目：下列关于老年期心理精神障碍的特点正确的是    正确答案：起病潜隐
题目：老年人产生压疮的最主要原因是    正确答案：局部组织长时间受压
题目：老年人适宜的居室温度应为    正确答案：22~24℃
题目：老年人社会健康评估不包括哪一项    正确答案：职业评估
题目：世界上第一所圣克里斯多弗临终关怀院是哪一年创办的    正确答案：1967
题目：赵某女性69岁近2年来出现记忆力进行性下降丟三落四不修边幅常找不到回家的路为明确诊断使用的功能状态评估方法是    正确答案：简易智力状况检查
题目：赵某女性69岁近2年来出现记忆力进行性下降丟三落四不修边幅常找不到回家的路为与血管性痴呆相鉴别进行的检查是    正确答案：Achinsk缺血量表
题目：男性患者65岁三年前出现骑自行车速度减慢加速困难偶尔出现无法转弯近半年症状加重颈肩部出现强直合并静止性震颤同时身体油脂分泌增多唾液增多流涎未见口角歪斜该患者还有可能出现的症状是    正确答案：表情减少
题目：男性患者65岁三年前出现骑自行车速度减慢加速困难偶尔出现无法转弯近半年症状加重颈肩部出现强直合并静止性震颤同时身体油脂分泌增多唾液增多流涎未见口角歪斜该患者治疗和护理要点是    正确答案：遵医嘱合理用药,限制蛋白摄入量
题目：世界卫生组织规定在发达国家只要年龄在岁及其以上者称为老年人    正确答案：65
题目：老年骨关节炎关节畸形常见于    正确答案：指间关节
题目：女性65岁担任村内老年秧歌队队长近日为迎接上级领导检查压力很大担心工作做得不好白天练得很辛苦很累晚上睡觉睡得很熟护理此老人哪项是错误的    正确答案：告诉老人别担当秧歌队队长了,太累了
题目：下面哪组因素都与衰老有关    正确答案：遗传、环境、生活方式、自我保健
题目：护理脑血栓患者下列哪项不妥    正确答案：头置冰袋
题目：下列除哪项以外均属于老年人健康史评估内容    正确答案：有无心脑血管疾病的危险因素
题目：关于老年人呼吸系统的生理变化不正确的是    正确答案：由于通气与换气功能均减退,故血氧分压和血二氧化碳分压均减退
题目：下列有关老年期的食管的变化正确的是    正确答案：上段食管括约肌的压力随年龄增长而降低
题目：老年人面临的社会问题是    正确答案：以上全是
题目：患者男性70岁便秘多日护士告知其多吃水果帮助通便水果中能起通便作用的营养素是    正确答案：纤维素
题目：张先生男81岁老伴去世子女不在身边现在要了解张先生是否具有独立生活的能力需要看哪方面的评估结果    正确答案：功能性日常生活能力评估
题目：患者女性65岁糖尿病病史7年长期胰岛素治疗某日凌晨突然感到饥饿难忍全身无力心慌出虚汗继而神志恍惚护士应首先考虑发生了    正确答案：低血糖反应
题目：患者女性65岁糖尿病病史7年长期胰岛素治疗某日凌晨突然感到饥饿难忍全身无力心慌出虚汗继而神志恍惚护士应立即采取的措施是    正确答案：协助患者饮糖水
题目：张某男性68岁高血压病史7年糖尿病5年8小时前起床时被家人发现意识不清右侧肢体不能动查体18095中度昏迷瞳孔等大右侧鼻唇沟浅四肢腱反射未引出双巴宾斯基征阳性入院后立即行频检查未见异常该患者最可能的诊断是    正确答案：脑血栓形成
题目：张某男性68岁高血压病史7年糖尿病5年8小时前起床时被家人发现意识不清右侧肢体不能动查体18095中度昏迷瞳孔等大右侧鼻唇沟浅四肢腱反射未引出双巴宾斯基征阳性入院后立即行频检查未见异常发病初期对其实施护理措施以下错误的是    正确答案：平卧位
题目：老年骨关节炎主要的临床表现是    正确答案：关节疼痛、关节僵硬、关节畸形
题目：基因突变理论认为老化是    正确答案：基因程序预先设定了动物的生命周期
题目：下列关于老年人生命体征特点描述错误的是    正确答案：老年人基础体温比青年人高
题目：下列有关小肠的变化叙述正确的是    正确答案：小肠黏膜萎缩、小肠液分泌减少、肠蠕动减慢、易发生便秘
题目：生活质量是对老年人生活的一种全面评价其特点不包括    正确答案：是非常客观的评价指标
题目：脑血栓形成最常见的病因为    正确答案：脑动脉粥样硬化
题目：王大爷72岁患骨性关节炎5年现下肢出现间歇性跛行且大小便失禁线示腰椎管狭窄髋关节间隙狭窄软骨下骨质硬化关于此病人的护理最重要措施是    正确答案：生活护理
题目：老年人服用镇静剂后迷迷糊糊中尿液不自主流出    正确答案：暂时性尿失禁
题目：张某男62岁妻子去世10年2个儿子均在外地工作此人在当地人事部门退休2年近期被人发现莫名其妙地紧张不安但又说不出什么原因为了明确老人的心理健康状态应进行的健康评估是    正确答案：心理健康评估
题目：李先生60岁突然寒战高热2咳嗽气急和右侧胸痛1伴咳血丝痰前天曾在野外劳动穿衣单薄淋过雨护理体检体温390脉搏112次呼吸38次血压14090急性病容面色潮红呼吸急迫鼻翼扇动口唇发紫右上胸呼吸运动减弱语颤增强叩诊音较浊可听到支气管呼吸音及湿啰音语音传导增强心律齐腹平软肝脾未触及本病例应诊断为    正确答案：肺炎球菌肺炎
题目：李先生60岁突然寒战高热2咳嗽气急和右侧胸痛1伴咳血丝痰前天曾在野外劳动穿衣单薄淋过雨护理体检体温390脉搏112次呼吸38次血压14090急性病容面色潮红呼吸急迫鼻翼扇动口唇发紫右上胸呼吸运动减弱语颤增强叩诊音较浊可听到支气管呼吸音及湿啰音语音传导增强心律齐腹平软肝脾未触及该患者目前存在的最大的护理问题是    正确答案：气体交换受损
题目：王某60岁既往有冠心病史5年2小时前因情绪激动而突然出现胸骨后压榨样疼痛伴有烦躁不安出冷汗病人极度紧张有濒死感诊断为急性心肌梗死收住监护室进行心电监护的主要目的是    正确答案：监测有无心律失常
题目：王某60岁既往有冠心病史5年2小时前因情绪激动而突然出现胸骨后压榨样疼痛伴有烦躁不安出冷汗病人极度紧张有濒死感诊断为急性心肌梗死收住监护室对患者进行健康教育防治便秘意义在于    正确答案：防止加重心肌缺氧
题目：下列有关老年期肝变化叙述正确的是    正确答案：肝细胞数量减少、变性,纤维组织增生、合成蛋白功能下降
题目：为老年患者痰液黏稠不易咳出者提供的护理措施错误的是    正确答案：胸部叩击可在餐后进行
题目：老年人躯体健康的评估不包括下述哪一项    正确答案：社会功能评估
题目：生命过程发展理论是属于    正确答案：老化的心理学理论
题目：临终关怀的意义是    正确答案：以上都是
题目：钱某男70岁以汉密顿焦虑量表进行评估总分为25分该病人为    正确答案：中度焦虑
题目：老年人皮肤瘙痒的最常见原因是    正确答案：皮肤干燥
题目：老年人脑出血最常见的病因是    正确答案：高血压
题目：老人穿脱衣服的原则是    正确答案：先脱健侧后脱患侧,先穿患侧后穿健侧;先脱近侧后脱远侧,先穿远侧后穿近侧
题目：患者男性71岁近来常诉夜尿增多尿淋漓不尽感因而向你提出咨询你的最佳答案是    正确答案：最好去医院检查
题目：有研究显示老年人发生药物不良反应的发生率随年龄增长而增加6069岁组为15297079岁组为1818089岁组为241显著高于其他人群下列哪项不是老年人药物不良反应发生率高的原因    正确答案：低体重
题目：有研究显示老年人发生药物不良反应的发生率随年龄增长而增加6069岁组为15297079岁组为1818089岁组为241显著高于其他人群关于老年人药物不良反应以下不正确的是    正确答案：药物矛盾反应较年轻人少见
题目：王先生64岁离休干部1年前被诊断为糖尿病建议采取饮食控制和运动治疗而王先生自认为身体状况很好对疾病重视程度不够故血糖控制一直不佳3个月后给予格列齐特药物治疗但病人仍时常忘记服药查空腹血糖98王先生目前用药方面的最主要护理问题是    正确答案：不依从行为与老年人的健康观缺乏有关
题目：王先生64岁离休干部1年前被诊断为糖尿病建议采取饮食控制和运动治疗而王先生自认为身体状况很好对疾病重视程度不够故血糖控制一直不佳3个月后给予格列齐特药物治疗但病人仍时常忘记服药查空腹血糖98针对王先生的问题应采取的护理措施以下哪项不正确    正确答案：告诉老人应特别重视糖尿病的药物治疗
题目：老年人的服装选择首先必须考虑    正确答案：实用性
题目：帕金森病的临床表现特点不包括    正确答案：折刀样强直
题目：王护士使用密顿抑郁量表评估新入院的一位老年人这位老年人的得分为30分则认为该老人有    正确答案：中度抑郁
题目：下列哪项与老年人沟通的方式不正确    正确答案：当老人听不明白问题时就换另外个问题
题目：刘老伯62岁近期参加打麻将娱乐活动经常至深夜昼夜颠倒导致睡眠紊乱表现为难以人睡易醒多梦身体疲乏常打哈欠以下护理哪项不对    正确答案：每晚口服地西泮10mg
题目：老年糖尿病的特点不包括    正确答案：多为1型糖尿病
题目：下列哪项不符合老年社区获得性肺炎的表现    正确答案：中性粒细胞可以升高、正常或减低
题目：下列哪项属于老化的特征    正确答案：累积性、渐进性、普遍性、危害性
题目：下列关于老年期皮肤改变的特点描述错误的是    正确答案：老年斑常见于胸腹部,边缘清楚,圆形或椭圆形
题目：下面哪种用药方式符合老年人用药的原则    正确答案：从小剂量开始用药、尽量减少用药种类
题目：临终老人请求会见亲朋好友交代后事是在哪个时期    正确答案：协议期
题目：李某女78岁5年前开始在咳嗽打喷嚏大笑时尿液不自主溢出并随着健康状况的好坏时而加重时而变轻尿道压力测试膀胱充盈状态下站立位可见随咳嗽尿液溢出咳嗽停止后尿液没有流出请问李某是哪种尿失禁    正确答案：压力性尿失禁
题目：李某女78岁5年前开始在咳嗽打喷嚏大笑时尿液不自主溢出并随着健康状况的好坏时而加重时而变轻尿道压力测试膀胱充盈状态下站立位可见随咳嗽尿液溢出咳嗽停止后尿液没有流出指导患者不能做哪项功能锻炼    正确答案：速跑100米
题目：社区陈老伯69岁自诉最近感到排便困难从过去的每天1次到现在的每周23次陈老伯最应该如何饮食    正确答案：高纤维素饮食
题目：社区陈老伯69岁自诉最近感到排便困难从过去的每天1次到现在的每周23次该患者不能采取的措施    正确答案：如果排不出大便可以听会广播或看会报纸
题目：阿尔茨海默病常见的首发症状为    正确答案：近记忆障碍
题目：老年人在用药期间一旦出现新的症状最简单有效的于预措施是    正确答案：暂停用药
题目：对发达国家老年人年龄划分标准是    正确答案：≥65岁
题目：男性65岁测血压经常为180120同时发现血糖为8血胆固醇72以下何种药物不宜使用    正确答案：阿替洛尔
题目：有关老年人的活动哪项正确    正确答案：只要采取有规律,且适合自己的运动方式,无论从什么年龄开始运动都对身体有益
题目：临终病人对周围事物表现淡漠经常漠视这种改变属于临终患者哪一期心理反应    正确答案：接受期
题目：李大爷因便秘向护士小王求助咨询小王随即建议其服用果导片小王的这种做法违背以下哪项用药原则    正确答案：先非药物疗法,后药物疗法
题目：对心肌梗死急性期患者的护理措施下列哪项不妥    正确答案：给予高流量吸氧
题目：评估老年人智能能动性和社会角色功能的评估内容是    正确答案：高级日常生活能力
题目：张老太女79岁独居社区护士进入家庭对其家庭环境进行评估应包括哪些内容    正确答案：以上都是
题目：下列哪项是痴呆患者的护理    正确答案：培养训练患者自我生活能力
题目：周某男72岁因头晕头痛失眠多次入院入院查体未见明显异常但病人情绪低落出院时更加明显甚至反复拒绝出院该患者进行哪些社会健康评估可能最有意义    正确答案：家庭评估
题目：周某男72岁因头晕头痛失眠多次入院入院查体未见明显异常但病人情绪低落出院时更加明显甚至反复拒绝出院病人家庭功能评估表评估结果为2分其意义为    正确答案：家庭功能严重障碍
题目：老年人男性66岁1年前退休不能适应退休生活有失落感近半年常感失眠头痛有时血压偏高曾到各大医院检查怀疑有脑血管硬化老人常为之着急忧愁焦虑不安整天默默无语暗自流泪怕自己瘫痪连累家人老人生活环境室温湿度应该是    正确答案：室温应以22~24℃较为适宜;室内合适的湿度则为50%士10%
题目：老年人男性66岁1年前退休不能适应退休生活有失落感近半年常感失眠头痛有时血压偏高曾到各大医院检查怀疑有脑血管硬化老人常为之着急忧愁焦虑不安整天默默无语暗自流泪怕自己瘫痪连累家人老人的日常生活下列哪项说法是错误的    正确答案：此老年人不需要别人的照顾,自己生活就行
题目：患者女性70岁有糖尿病史体温378有尿频尿急症状尿沉渣中有大量白细胞诊断考虑为    正确答案：糖尿病合并泌尿系感染
题目：评估老年人用药情况不包括    正确答案：营养状况
题目：下列哪项不是工具性日常生活自理量表评估的内容    正确答案：购物
题目：患者男性60岁因突发心前区疼痛疼痛难忍并伴有胸闷憋气来医院就诊患者既往有糖尿病史10年胃溃疡15年经检查医生诊断为前间壁心肌梗死特征性心电图变化出现在    正确答案：V1~V3导联
题目：张某男75岁现进行健康查体为评估老年人的生活质量可采用的量表为    正确答案：APGAR家庭功能评估表
题目：依照我国年龄分期标准高龄老年人是指年龄在的老人    正确答案：≥80岁
题目：男性50岁有高血压病史5年因近期未按时服药近日出现明显头痛烦躁心悸多汗面色苍白视力模糊测血压为230130可能的诊断为    正确答案：高血压危象
题目：老年男性良性前列腺增生最早出现的症状是    正确答案：尿频
题目：老年痴呆与血管性痴呆相比较好发于    正确答案：老年女性
题目：李大爷68岁患原发性高血压11年冠心病4年长期服氨氯地平单硝酸异山梨酯缓释片美托洛尔硫氮唑酮和阿司匹林治疗平时因睡眠不佳每晚服用阿普唑仑8且经常服用中成药保健品等为了预防病人出现药物不良反应应采取的护理措施不包括    正确答案：强化老人重视药物治疗
题目：老年期口腔的变化正确的是    正确答案：牙釉质和牙本质磨损、牙髓腔缩小、牙龈萎缩;唾液分泌量减少;味蕾逐步萎缩
题目：下列哪个因素易导致老年人进食意外的发生    正确答案：给卧床老人喂汤时,食勺要从口正中直入,以免呛咳
题目：临终患者认为死亡不会发生在自己身上这是一种暂时性自我保护反应属于哪一期的心理反应    正确答案：否认期
题目：李老师已退休在家两年其儿子在外地工作近来感觉生活没太有意思她用评估了一下自己的心理状况得到粗分为45分李老师的标准分为    正确答案：56分
题目：李老师已退休在家两年其儿子在外地工作近来感觉生活没太有意思她用评估了一下自己的心理状况得到粗分为45分李老师的心理状态    正确答案：有抑郁症状
题目：男性55岁有轻度高血压伴有心动过速轻度充血性心衰症状有气喘和痛风史治疗药物首选为    正确答案：血管紧张素转换酶抑制剂
题目：患有骨质疏松症的老人最常见的临床表现是    正确答案：腰背痛
题目：血管性痴呆特点是    正确答案：阶段性进展
题目：老人范某女性68岁慢性下腰痛7年今晨洗漱时在卫生间不慎跌倒跌倒后出现剧烈疼痛家人将其送往医院线显示第四腰椎压缩性骨折该老人目前存在的最主要的护理问题是    正确答案：疼痛
题目：老年男性良性前列腺增生最重要的症状是    正确答案：进行性排尿困难
题目：有助于润肠通便的食品不包括    正确答案：浓茶
题目：对于一胃癌晚期的临终患者如果其出现胃部的明显疼痛无法忍受已经影响到其休息应该采取何种措施止痛    正确答案：布桂嗪止痛
题目：患者男性60岁因胸痛就诊既往有心绞痛十年鉴别急性心肌梗死与心绞痛症状的主要区别是    正确答案：疼痛持续时间不同
题目：下列哪项是情绪状态的评估    正确答案：焦虑的评估
题目：某糖尿病患者男性68岁突发高热寒战右胸痛次日咳痰为黄色脓性带血丝量多线显示右下肺实变其中有多个液性囊腔最可能的诊断是    正确答案：葡萄球菌性肺炎
题目：为提高老人服药依从性下列哪项措施不妥    正确答案：为减少老人用药次数而加大用药剂量
题目：老年女性70岁丧偶2年独居听力下降儿子在外地工作常年通过信件与儿子联系其子女在给老人写信时应该注意什么    正确答案：避免使用图表、图片
题目：衡量人口老化最直接最常用的指标是    正确答案：老年人口系数
题目：患者男性66岁工程师去年退休后自觉体力精力明显下降记忆力衰退2个月来失眠食欲下降懒于活动觉得活着没意思自觉自已变成傻子无用了下列哪种评估方法更有利于发现老人的健康问题    正确答案：心理评估
题目：患者男性66岁工程师去年退休后自觉体力精力明显下降记忆力衰退2个月来失眠食欲下降懒于活动觉得活着没意思自觉自已变成傻子无用了该患者如以进行评估结果标准分为60分该患者可能为    正确答案：轻度抑郁
题目：患者女性29岁习惯性便秘该患者宜采用的饮食是    正确答案：高纤维素饮食
题目：临终患者各器官功能处于衰竭状态常会有疼痛的出现若患者目前有疼痛但并不是特别明显应该给予下何种止痛措施    正确答案：阿司匹林
题目：王某男性56岁与别人争吵时突感心前区不适持续35分钟经休息后缓解此病人护理措施应除外    正确答案：饭后活动
题目：患者女性79岁10余年来腰背逐渐不能伸直现不能平卧自感全身骨痛检查发现患者严重驼背经线拍片及骨密度测试后确诊为骨质疏松症对老人的护理措施哪项正确    正确答案：协助老人采取舒适卧位;防止老人跌倒;补充钙剂和维生素D
题目：围绝经期综合征主要发病原因是    正确答案：卵巢功能衰退
题目：田太太68岁两年前丧偶膝下有一女儿在国外定居因无人照顾人住养老院目前田太太主要的心理需求是    正确答案：渴望亲情
题目：老年保健中要形成老年保健的专业化特色是哪项老年保健原则的含义    正确答案：功能分化原则
题目：女性65岁5天前淋雨后发冷发热胸痛咳嗽气短既往有结核病史查体左肺下部叩浊可闻水泡音痰结核菌集菌阴性白细胞3210线胸片左肺下叶大片状致密阴影考虑诊断为    正确答案：肺炎球菌肺炎
题目：家庭评估不包括哪些方面    正确答案：家庭背景
题目：老年人循环系统老化的描述正确的是    正确答案：心率减慢、心肌收缩力减弱、心输出量减少、血压升高
题目：患者男性60岁血压14090诊断为1级高血压遵医嘱给予非药物治疗下列不正确的是    正确答案：参加举重活动
题目：骨质疏松治疗说法正确的是    正确答案：预防比治疗更为重要和现实
题目：最初人们认为只要条件适宜体外培养的细胞可以无限度地繁殖但1961年海弗立克等两人提出体外培养细胞的繁殖是有限度的他们观察到成纤维细胞进行培养后原来处于休止期的成纤维细胞数量是骤增但不久繁殖程度降低最后处停滞状态这项研究与下列哪项衰老学说相符    正确答案：细胞定时老化论
题目：张大爷79岁退休工人丧偶独居5年高血压病史15年长期服用降压药今晨起床时出现左侧上下肢活动不灵活症状急来医院就诊为了对老人的疾病进行诊断和洽疗护理人员首先要做的工作是    正确答案：采集健康史
题目：张大爷79岁退休工人丧偶独居5年高血压病史15年长期服用降压药今晨起床时出现左侧上下肢活动不灵活症状急来医院就诊后来证实为脑梗死经治疗数天老人好转出院儿子想为其请一位保姆为了合理安排保姆的工作小张来到医院向医务人员求助作为护理人员应对老人进行    正确答案：功能状态评估
题目：患者男性60岁下班后与朋友聚餐很晚回家休息午夜突发左脚第1跖趾关节剧痛约3小时后局部出现红肿热痛和活动困难遂来急诊就诊检查血尿酸为500线提示可见非特征性软组织肿胀患者可能诊断是    正确答案：痛风
题目：1963年由及其同事认为老年人的生理心理及社会的需求不会因为生理心理及身体健康状况的改变而改变一个人到年老时仍然期望积极参与社会活动保持中年生活型态维持原有角色功能以证明自已仍未衰老据此他们提出了下列哪项老化理论    正确答案：活跃理论
题目：家庭功能评估表包括家庭功能的哪些方面    正确答案：以上均包括
题目：保持牙齿健康的正确措施为    正确答案：餐后使用牙线
题目：老年人死亡教育的内容是    正确答案：树立良好的生命观,正确对待死亡,克服死亡恐惧心理
题目：患者男性66岁胸痛2小时诊断为急性心肌梗死给予急诊溶栓治疗下列对直接诊断冠脉再通最有价值的是    正确答案：冠脉造影示闭塞动脉再通
题目：陈某70岁骨折术后卧床3周近日骶尾部皮肤破溃周围红肿护士观察后认为是压疮淤血红润期其主要依据是    正确答案：局部红肿
题目：张先生68岁因餐后反酸胃灼热胸痛而就诊且近半年出现腹部饱胀感食欲缺乏此病人最主要的护理诊断为    正确答案：疼痛
题目：老年人易发生老视眼的原因下列哪项不妥    正确答案：前眼房液浑浊
题目：老年护理作为一个独立的专业被确定下来是在哪一年    正确答案：1900年
题目：男性65岁诊断肺炎球菌肺炎出现呼吸困难发绀心悸心率150次分第一心音低钝肝右肋下3软压痛可能为    正确答案：心衰
题目：下列不属于冠心病的危险因素的是    正确答案：女性绝经期前
题目：属于老年人神经系统生理性老化的是    正确答案：脑萎缩
题目：老年学家1988首次提出老化生物学理论他通过研究衰老与年龄之间的关系以及老年期的生理变化发现这些变化具有以下特点1老年期变化是进行性的2老年期变化与机体本身有关而与外界环境无关3老年期变化导致功能衰退4老年期变化对老年人普遍适用的老化生物学理论阐述了下列哪些老化特征    正确答案：渐进性、普遍性、内生性、危害性
题目：老年学家1988首次提出老化生物学理论他通过研究衰老与年龄之间的关系以及老年期的生理变化发现这些变化具有以下特点1老年期变化是进行性的2老年期变化与机体本身有关而与外界环境无关3老年期变化导致功能衰退4老年期变化对老年人普遍适用老年期变化与机体本身有关而与外界环境无关    正确答案：该观点与衰老的内生性特征部分一致
题目：采集老年人健康史时    正确答案：一定要耐心倾听,不要催促
题目：患者男性60岁持续胸前区疼痛2小时入院心电图检查示导联段抬高为证实是否患有心肌梗死抽血化验下列哪项指标特异性最高    正确答案：血肌酸磷酸激酶
题目：患者男性65岁糖尿病不规则服药血糖波动在8698昨日起突然神志不清查血糖血糖28尿素氮78血钠148尿糖酮体其诊断为    正确答案：糖尿病酮症酸中毒
题目：关于老年人的衣着以下不正确的是    正确答案：不需注意其衣着的社会性
题目：临床死亡期患者的主要指征为    正确答案：心跳呼吸停止,各种反射消失
题目：心绞痛发作性胸痛部位在    正确答案：胸骨后且向左肩、左臂内侧放射
题目：孙某男70岁无重要病史1个月前搬入新家最近被家人发现常有外伤下列评估中哪一种最可能发现重要问题    正确答案：环境评估
题目：某老人60岁退休后独居整天在家看电视近期因牙痛常吃精细食物发生排便困难便秘不能导致哪些表现    正确答案：黑便
题目：男71岁食管癌术后留置胃管术后4天发热咳嗽气急痰略呈黄色右下肺湿啰音胸片右肺下叶大片状炎性病变其最可能的病原体是    正确答案：肠道革兰阴性杆菌
题目：不是老年骨关节病诊断要点的是    正确答案：X线片可见骨质疏松
题目：下列对痴呆患者的护理不正确的是    正确答案：不易发生并发症,无需注意
题目：李某男性75岁最近家人发现其记忆力明显下降常忘记刚说过的话做过的事丢三落四性格也变得古怪对人缺乏热情自我为中心固执多疑甚至与小孙子争东西该患者可能患有    正确答案：老年性痴呆
题目：预防老年人坠床不正确的说法是    正确答案：老人睡熟就不用进行夜间巡视病房了
题目：成老太62岁主诉二十多年前开始咳嗽打喷嚏奔跑时尿液不自主地溢出随着健康状况的好坏而时重时轻去年年开始症状加重询问过去史得知成老太这个冬春季以来持续咳嗽长达4个月漏尿症状有所加重询问生育史育有一子女儿为产钳助产妇科检查见子宫工度脱垂泌尿系统检查膀胱内压正常膀胱虽尿肌稳定尿道压力测试在膀胱充盈状下站立位可见随咳嗽尿液漏出咳嗽停后还见漏尿根据上述资料这位老年女性尿失禁的危险因素有哪些奔跑子宫脱垂雌激素水平下降盆底肌肉松弛打喷嚏子宫脱垂雌激素水平下降盆底肌肉松弛慢性咳嗽子宫脱垂雌激素水平下降盆底肌肉松弛寒冷季节子宫脱垂雌激素水平下降盆底肌肉松弛尿路感染子宫脱垂雌激素水平下降盆底肌肉松弛考虑这位老年女性患的是哪种类型的尿失禁    正确答案：压力性尿失禁
题目：成老太62岁主诉二十多年前开始咳嗽打喷嚏奔跑时尿液不自主地溢出随着健康状况的好坏而时重时轻去年年开始症状加重询问过去史得知成老太这个冬春季以来持续咳嗽长达4个月漏尿症状有所加重询问生育史育有一子女儿为产钳助产妇科检查见子宫工度脱垂泌尿系统检查膀胱内压正常膀胱虽尿肌稳定尿道压力测试在膀胱充盈状下站立位可见随咳嗽尿液漏出咳嗽停后还见漏尿根据上述资料这位老年女性尿失禁的危险因素有哪些奔跑子宫脱垂雌激素水平下降盆底肌肉松弛打喷嚏子宫脱垂雌激素水平下降盆底肌肉松弛慢性咳嗽子宫脱垂雌激素水平下降盆底肌肉松弛寒冷季节子宫脱垂雌激素水平下降盆底肌肉松弛尿路感染子宫脱垂雌激素水平下降盆底肌肉松弛建议首先采用哪种治疗方法    正确答案：雌激素与α受体拮抗剂如丙咪嗪两者联用,加上盆底肌训练
题目：关于导尿管的选择和使用下列哪项说法是正确的    正确答案：应根据产品使用说明书更换导尿管
题目：关于末梢血标本的保存与运送以下哪项不符合标准要求    正确答案：标本应在采集后6小时内完成送检
题目：关于手术部位感染暴发管理以下哪项措施不符合标准要求    正确答案：应立即停止所有手术进行环境消毒
题目：关于器官移植病区地漏的选择以下哪项符合标准要求    正确答案：应采用密闭式或机械密封式地漏
题目：关于医院感染分类以下哪项不属于手术部位感染    正确答案：椎间隙感染
题目：关于负压手术间的管理要求以下哪项是错误的    正确答案：特殊感染手术后应更换排风口处高效过滤器
题目：关于锐器伤的预防措施以下哪项操作是标准明确禁止的    正确答案：双手回套针帽
题目：根据标准要求下列哪项不是临床重点部门对侵入性器械相关感染防控必须开展的工作    正确答案：对所有患者进行侵入性器械使用前的病原体筛查
题目：关于空气过滤器更换标准以下哪项描述正确    正确答案：重复使用型粗效过滤器网眼被堵塞>50%时应清洗消毒
题目：关于新生儿病区医院感染监测以下哪项说法不正确    正确答案：必须使用信息系统进行监测
题目：关于医用织物洗涤消毒的数字化智能系统下列哪项功能不是必须的    正确答案：自动调节洗涤温度功能
题目：关于血液透析用浓缩物配制系统的管理要求下列哪项不符合标准规定    正确答案：B浓缩物配制系统应每日清洗、每月消毒一次
题目：在群伤救治患者身份识别中黑色标识代表什么含义    正确答案：死亡状态
题目：关于医院感染暴发的报告要求以下哪项不符合标准规定    正确答案：所有暴发都必须向社会公开详细信息
题目：关于气囊压力监测的要求下列哪项是正确的    正确答案：气囊压力应保持在25-30cmH2O
题目：关于呼吸机相关肺炎的预防措施下列哪项不符合标准要求    正确答案：应将患者床头抬高15°~20°
题目：关于呼吸机相关肺炎的定义下列哪项描述最准确    正确答案：包括发生肺炎48小时内曾经使用人工气道进行机械通气者
题目：对于多重耐药菌感染或定植患者下列哪项措施是错误的    正确答案：应常规使用口服抗菌药物进行选择性消化道脱污染
题目：关于呼吸机管路湿化的要求下列哪项不符合标准    正确答案：可使用微量泵持续泵入湿化液进行湿化
题目：关于导尿管相关尿路感染的定义下列哪项描述最准确    正确答案：患者留置导尿管期间或拔除导尿管48小时内发生的尿路感染
题目：关于洁净手术间空气净化系统的管理要求以下哪项是错误的    正确答案：高效空气过滤器宜12个月以上更换
题目：对于新发病例的判断标准以下哪项不符合5242025的规定    正确答案：同一病例与上一次出现间隔超过6个月视为新发病例
题目：关于血液透析部门中心水处理系统的监测要求下列哪项是正确的    正确答案：微生物监测应每月1次，细菌菌落总数≤100CFU/mL
题目：关于医院感染的判定原则以下哪项描述是错误的    正确答案：新生儿经产道获得的感染在出生后48小时内出现应判定为医院感染
题目：关于最大无菌屏障措施以下哪项描述是错误的    正确答案：辅助人员无需佩戴一次性帽子和医用外科口罩
题目：关于医疗机构环境表面清洁与消毒管理标准中的清洁单元定义以下哪项描述最准确    正确答案：以病床为中心及其周围高频接触表面的集合
